datetime,Open,High,Low,Close,price,total_liquidations,long_liquidations,short_liquidations,liquidation_count,Volume
2024-12-07 18:25:00,100180.99,100180.99,100180.99,100180.99,100180.99,300.54297,300.54297,0.0,1,300.54297
2024-12-07 18:30:00,100180.99,100180.99,100180.99,100180.99,100180.99,0.0,0.0,0.0,0,0.0
2024-12-07 18:35:00,100187.62,100187.62,100187.62,100187.62,100187.62,10519.7001,10519.7001,0.0,1,10519.7001
2024-12-07 18:40:00,100175.14,100443.9,100175.14,100443.9,100326.24692307692,64007.94775,64007.94775,0.0,13,64007.94775
2024-12-07 18:45:00,100449.34,100641.02,100449.34,100641.02,100524.2905882353,281277.38609,281277.38609,0.0,34,281277.38609
2024-12-07 18:50:00,100597.47,100727.17,100597.47,100727.17,100671.57888888888,85784.65646,85784.65646,0.0,18,85784.65646
2024-12-07 18:55:00,100597.47,100727.17,100597.47,100727.17,100671.57888888888,0.0,0.0,0.0,0,0.0
2024-12-07 19:00:00,100597.47,100727.17,100597.47,100727.17,100671.57888888888,0.0,0.0,0.0,0,0.0
2024-12-07 19:05:00,100666.13,100666.13,100666.13,100666.13,100666.13,805.3290400000001,805.3290400000001,0.0,1,805.3290400000001
2024-12-07 19:10:00,100665.41,100665.41,100665.41,100665.41,100665.41,201.33082,201.33082,0.0,1,201.33082
2024-12-07 19:15:00,100665.41,100665.41,100665.41,100665.41,100665.41,0.0,0.0,0.0,0,0.0
2024-12-07 19:20:00,100638.2,100638.2,100638.2,100638.2,100638.2,2817.8696,2817.8696,0.0,1,2817.8696
2024-12-07 19:25:00,100638.2,100638.2,100638.2,100638.2,100638.2,0.0,0.0,0.0,0,0.0
2024-12-07 19:30:00,100638.2,100638.2,100638.2,100638.2,100638.2,0.0,0.0,0.0,0,0.0
2024-12-07 19:35:00,100410.29,100495.51,99719.28,100485.07,100335.995,13959.22272,13360.90704,598.31568,6,13959.22272
2024-12-07 19:40:00,100488.68,100686.18,99796.67,100667.43,100521.287,38443.833959999996,37944.85061,498.98335,10,38443.833959999996
2024-12-07 19:45:00,100640.69,100648.88,100606.88,100648.88,100629.476,12074.236169999998,12074.236169999998,0.0,5,12074.236169999998
2024-12-07 19:50:00,99836.52,99836.52,99836.52,99836.52,99836.52,99.83652,0.0,99.83652,1,99.83652
2024-12-07 19:55:00,99836.52,99836.52,99836.52,99836.52,99836.52,0.0,0.0,0.0,0,0.0
2024-12-07 20:00:00,100645.93,100645.93,100622.61,100630.31,100632.95,2918.54519,2918.54519,0.0,3,2918.54519
2024-12-07 20:05:00,100645.93,100645.93,100622.61,100630.31,100632.95,0.0,0.0,0.0,0,0.0
2024-12-07 20:10:00,100645.93,100645.93,100622.61,100630.31,100632.95,0.0,0.0,0.0,0,0.0
2024-12-07 20:15:00,100730.09,100731.18,100730.09,100731.18,100730.635,3021.92668,3021.92668,0.0,2,3021.92668
2024-12-07 20:20:00,100743.92,100832.11,100743.92,100832.11,100800.18090909091,125801.124,125801.124,0.0,11,125801.124
2024-12-07 20:25:00,100743.92,100832.11,100743.92,100832.11,100800.18090909091,0.0,0.0,0.0,0,0.0
2024-12-07 20:30:00,100660.73,100680.04,100660.73,100680.04,100670.385,402.68154000000004,402.68154000000004,0.0,2,402.68154000000004
2024-12-07 20:35:00,100690.09,100690.09,100690.09,100690.09,100690.09,7048.3063,7048.3063,0.0,1,7048.3063
2024-12-07 20:40:00,100690.09,100690.09,100690.09,100690.09,100690.09,0.0,0.0,0.0,0,0.0
2024-12-07 20:45:00,100690.09,100690.09,100690.09,100690.09,100690.09,0.0,0.0,0.0,0,0.0
2024-12-07 20:50:00,100733.17,100733.17,100733.17,100733.17,100733.17,302.19951,302.19951,0.0,1,302.19951
2024-12-07 20:55:00,100733.17,100733.17,100733.17,100733.17,100733.17,0.0,0.0,0.0,0,0.0
2024-12-07 21:00:00,100833.61,100891.94,100833.61,100891.94,100856.79363636364,16842.05441,16842.05441,0.0,11,16842.05441
2024-12-07 21:05:00,100861.29,100861.29,100730.88,100730.88,100796.08499999999,1713.98988,1713.98988,0.0,2,1713.98988
2024-12-07 21:10:00,100861.29,100861.29,100730.88,100730.88,100796.08499999999,0.0,0.0,0.0,0,0.0
2024-12-07 21:15:00,99798.41,99798.41,99706.3,99706.3,99752.35500000001,50052.931039999996,0.0,50052.931039999996,2,50052.931039999996
2024-12-07 21:20:00,99798.41,99798.41,99706.3,99706.3,99752.35500000001,0.0,0.0,0.0,0,0.0
2024-12-07 21:25:00,99684.95,99684.95,99648.07,99648.07,99666.51000000001,3687.0892300000005,0.0,3687.0892300000005,2,3687.0892300000005
